bar_code, sifra, cijena
5201360795741,00012540,7 DAY'S COKOLADNI CAKE BAR VANILI=2.46
3850223646106,80009383,ABECEDA 64-610000 EUROM=99.14
3850223702123,80010622,ABECEDA 70-212000 EUROM=9.59
5901815001396,30005397,ACETON 100 ML RADION=6.79
8027391002187,30006994,ACETON SOLVENTE 125ML POHIT=5.99
3831000200445,60004621,ACRYEMULZIJA 1/1=23.49
3831000200452,60000352,ACRYEMULZIJA 5/1=85.90
3831000200308,60000341,ACRYNOL 20/1=38.90
3831000200292,60000351,ACRYNOL 5/1=18.99
3831000200759,60001860,ACRYNOL ELASTIK 20/1=85.90
3831000200742,60005403,ACRYNOL ELASTIK 5/1=28.19
8004485014424,50005340,ADAPTER ZA CRIJEVO 3/4-5/8 BLIS.4=19.21
3858888054526,80014654,ADRESAR IRA COMMERCE=13.19
4006613002703,10010106,ADVENTSKI KALENDAR 75GR=7.99
5400338021213,70002196,AGREGAT 2-TAKTNI 2KS 1500W POW470=839.00
5400338022074,70002374,AGREGAT 2KS 720W POW470 LIKOS=959.00
8714789396101,40003453,AJAX BATHROOM 750ML SPRAY=26.61
8033113178818,80016049,AJE UKRASNO KER. STIMAC=10.99
3850104022517,10000780,AJVAR 195 GR.BLAGI PODRAVKA=9.69
3850104022524,10003037,AJVAR 195 GR.LJUTI PODRAVKA=9.69
3858886403722,10006223,AJVAR 350 GR LJUTI DONA=14.33
3850104255120,10009345,AJVAR 350 GR UPRZENI PODRAVKA=12.99
3850104051029,10000776,AJVAR 350 GR.BLAGI PODRAVKA=12.99
3850104050565,10003732,AJVAR 350 GR.LJUTI PODRAVKA=12.99
3850104051012,10000777,AJVAR 690 GR.BLAGI PODRAVKA=19.99
3850104050572,10003733,AJVAR 690 GR.LJUTI PODRAVKA=19.99
3859888422605,10004059,AJVAR 720G SPAJIC=13.39
5319990172235,10009085,AJVAR 720GR EKOPRODUKT=12.99
3831001308256,10008779,AJVAR BLAGI 280GR ORKA=7.99
3850104255137,10008991,AJVAR BLAGI UPRZENI 690G PODRAVKA=23.54
3871050000527,10009303,AJVAR BLAGO-LJUTI 720ML VEGY INTE=14.49
3850334190116,10008611,AJVAR LJUTI 350G VELRPO=8.99
3850104264771,10009828,AJVAR LJUTI UPRZENI STAKLENKA 350=12.99
3858887730568,10009053,AJVAR PREMIUM M 370ML INTERMIMS=9.99
3850334190086,10004199,AJVAR RIAL 350G VELPRO=8.99
3850334228796,10008139,AJVAR RIAL 370G VELPRO=8.99
3850334073495,10007526,AJVAR RIAL 700 GR=13.99
3858885871539,10009367,AJVAR UPRZENI BLAGI 350GR DOORA E=11.59
3859891431328,10007367,AJVAR UPRZENI BLAGI 350GR N.DAKOV=10.39
3858886403746,10005708,AJVAR UPRZENI BLAGI 680 GR DONA=20.60
3858885871553,10009368,AJVAR UPRZENI LJUTI 350GR DOORA E=11.59
3838527259666,60006822,AKRILIN 10 BIJELI TUBA 150 GR 115=7.48
3838527259727,60006823,AKRILIN 40 HRAST TUBA 150 GR 1165=7.48
3831000200698,60000404,AKRILIN KIT 10 BIJELI 0.75 KG=19.99
3831000204030,60001782,AKRILIN KIT 40 HRAST 0.75 KG=19.99
3858883225136,00010674,ALASKA POLLOCK FILET 500G=15.99
3850223631041,80016858,ALAT SET 2 VRSTE 63-104000 EUROM=35.18
8714892910041,50003710,ALAT ZA VRTLARE MINI 4/1 (1613) V=14.90
8690504033899,10009388,ALBENI CAKE 35G DICENTRA=1.99
3858887539222,00012247,ALBUM AFRIKA 2010 ATLANTIC=10.00
3858889068560,00013015,ALBUM EUROMANIA 2012 ATLANTIC=10.00
3850223367049,00005823,ALBUM FOTO 108KOM 36-704000 EUROM=13.53
3850223367032,00006349,ALBUM FOTO 72 KOM 36-703000 EUROM=11.09
8432583163001,00014690,ALBUM FOTO BABY 18PAG BERLINER CO=59.99
5996389101474,00014689,ALBUM FOTO BEAUTIFUL MEMORIES ORI=59.90
5031218061816,00014691,ALBUM FOTO WEDDING 200 SLIKA ORIG=49.60
3858889062353,00013025,ALBUM GORMITI ATLANTIC=30.89
3850102924141,00009625,ALBUM ZIVOTINJSKO CARSTVO HR KRAS=11.99
3850102505487,00016202,ALBUM ZIVOTINJSKO CARSTVO JUNIOR=10.00
3850116890524,00013805,ALJASKA KOLJA FILET IRIDA 500 GR=17.99
3859890587040,00012241,ANANAS KOCKA SUHA 250G MARJAN VOC=8.99
3850223411711,80016769,ANDELI 6KOM U KUTIJI 41-171000 EU=12.79
3859889917018,70001489,ANTENA LAV-01 909 VINKOPROM=47.97
3859891076017,60000423,ANTIFRIZ -38 1/1=17.90
3859891076024,60000419,ANTIFRIZ -38 3/1=49.99
9003395031711,60006753,ANTIFRIZ KONCENTRAT -80 1/1=21.00
3859891076048,60007045,ANTIFRIZ KONCENTRAT 1L=26.99
3859891076055,60007046,ANTIFRIZ KONCENTRAT 3L=79.99
3858888110086,60006972,ANTIKOROZIN 0.50L=14.99
9003898545111,70001837,APARAT ZA KAVU FIRST 5451-1=149.99
9003898054576,70000235,APARAT ZA KAVU FIRST 5457=126.90
